Kontonr;Bogført dato;Navn;Leverandørnr;Posteringstekst;Nettobeløb;Beløb;Afdelingsnr;Bilagsidentifikation;Regnskabsår;Udbetalt dato;Kassenr;;;;;
;;;;;1.520.277,44;3.194.330,51;;;;;;;;;;
527-32-070-09;08-12-2025;;;Køkken nov;-110.914,20;-110.914,20;34010;2512081765188785060;2025;;111;;;;;
527-32-070-09;10-11-2025;;;Køkken okt;-113.775,66;-113.775,66;34010;2511101762770297419;2025;;111;;;;;
527-32-070-09;08-10-2025;;;Køkken 09;-109.195,00;-109.195,00;34010;2510081759904988780;2025;;111;;;;;
527-32-070-09;08-09-2025;;;Køkken  08;-112.452,50;-112.452,50;34010;2509081757332075375;2025;;111;;;;;
527-32-070-09;11-08-2025;;;Plejehjem juli 25;-112.452,50;-112.452,50;34010;2508111754905699155;2025;;111;;;;;
527-32-070-09;10-07-2025;;;Salg fra køkkenet til PL 06;-108.825,00;-108.825,00;34010;2507101752136793219;2025;;111;;;;;
527-32-070-09;10-06-2025;;;Køkken maj 2025;-112.822,50;-112.822,50;34010;2506101749555773018;2025;;111;;;;;
527-32-070-09;06-05-2025;;;Køkken april 2025;-106.248,32;-106.248,32;34010;2505061746516958253;2025;;111;;;;;
527-32-070-09;07-04-2025;;;Køkken marts 25;-110.293,66;-110.293,66;34010;2504071744016899465;2025;;111;;;;;
527-32-070-09;05-03-2025;;;Køkken 02-2025;-99.550,44;-99.550,44;34010;2503051741176805558;2025;;111;;;;;
527-32-070-09;18-02-2025;;;Køkken januar 25;-111.351,56;-111.351,56;34010;2502181739869640845;2025;;111;;;;;
527-32-071-06;08-12-2025;;;Louiselund div nov;-189.726,66;-189.726,66;34010;2512081765187986057;2025;;111;;;;;
527-32-071-06;08-12-2025;;;Louiselund flex nov;-47.959,54;-47.959,54;34010;2512081765187986057;2025;;111;;;;;
527-32-071-06;26-11-2025;;;Louiselund div okt;-185.197,02;-185.197,02;34010;2511101762768642407;2025;;111;;;;;
527-32-071-06;26-11-2025;;;Louise flex okt;-55.251,67;-55.251,67;34010;2511101762768642407;2025;;111;;;;;
527-32-071-06;26-11-2025;;;Louiselund div okt;-185.197,02;-185.197,02;34010;2511101762768642407;2025;;111;;;;;
527-32-071-06;26-11-2025;;;Louise flex okt;-55.251,67;-55.251,67;34010;2511101762768642407;2025;;111;;;;;
527-32-071-06;10-11-2025;;;Louiselund div okt;185.197,02;185.197,02;34010;2511101762768642407;2025;;111;;;;;
527-32-071-06;10-11-2025;;;Louise flex okt;55.251,67;55.251,67;34010;2511101762768642407;2025;;111;;;;;
527-32-071-06;08-10-2025;;;Louiselund div sep;-184.543,69;-184.543,69;34010;2510081759911767793;2025;;111;;;;;
527-32-071-06;08-10-2025;;;Louiselund flex sep;-52.172,10;-52.172,10;34010;2510081759911767793;2025;;111;;;;;
